baseline,gain,offset,record,side,signal,trial
53.99999999998818,0.5555555555556771,40,Amit_1,L,Channel 8,16
13.749999999999932,2.5,400,Amit_1,L,CoP,16
1262.6400000000165,0.04030818486485228,380,Amit_1,L,vGRF,16
0.0,0.6113537117904279,200,Amit_1,R,Channel 1,16
37.0,0.3624733475479787,170,Amit_1,R,Channel 2,16
33.99999999998545,1.0,145,Amit_1,R,Channel 3,16
41.99999999999636,1.0,120,Amit_1,R,Channel 4,16
142.0000000000182,0.8411214953269598,100,Amit_1,R,Channel 5,16
49.0,1.0,80,Amit_1,R,Channel 6,16
50.0,1.0,60,Amit_1,R,Channel 7,16
36.0,1.0,40,Amit_1,R,Channel 8,16
11.01,2.5,400,Amit_1,R,CoP,16
921.9999999998254,0.08,380,Amit_1,R,vGRF,16
38.0,0.700000000000286,200,Amit_1,L,Channel 1,17
22.99999999999181,1.0,170,Amit_1,L,Channel 2,17
42.0,1.0,145,Amit_1,L,Channel 3,17
0.0,1.0,120,Amit_1,L,Channel 4,17
43.0,1.0,100,Amit_1,L,Channel 5,17
46.999999999989996,1.0,80,Amit_1,L,Channel 6,17
7.0,1.0,60,Amit_1,L,Channel 7,17
14.000000000010003,0.8928571428571979,40,Amit_1,L,Channel 8,17
13.589999999999455,2.5,400,Amit_1,L,CoP,17
1205.5199999999727,0.04784165778178975,380,Amit_1,L,vGRF,17
0.0,0.700000000000559,200,Amit_1,R,Channel 1,17
39.0,0.36796536796536794,170,Amit_1,R,Channel 2,17
35.0,1.0,145,Amit_1,R,Channel 3,17
43.0,1.0,120,Amit_1,R,Channel 4,17
156.0,0.75,100,Amit_1,R,Channel 5,17
52.0,1.0,80,Amit_1,R,Channel 6,17
51.99999999999454,1.0,60,Amit_1,R,Channel 7,17
38.000000000010914,1.0,40,Amit_1,R,Channel 8,17
10.480000000004793,2.5,400,Amit_1,R,CoP,17
975.0000000000073,0.07231404958720697,380,Amit_1,R,vGRF,17
39.0,0.7909604519775365,200,Amit_1,L,Channel 1,18
25.00000000000864,1.0,170,Amit_1,L,Channel 2,18
44.00000000000182,1.0,145,Amit_1,L,Channel 3,18
0.0,1.0,120,Amit_1,L,Channel 4,18
46.0,1.0,100,Amit_1,L,Channel 5,18
48.0,1.0,80,Amit_1,L,Channel 6,18
29.0,1.0,60,Amit_1,L,Channel 7,18
121.99999999999318,0.24590163934427606,40,Amit_1,L,Channel 8,18
13.92,2.5,400,Amit_1,L,CoP,18
1294.6250000000036,0.03979511202325576,380,Amit_1,L,vGRF,18
0.0,0.8000000000002302,200,Amit_1,R,Channel 1,18
38.0,0.37861915367489113,170,Amit_1,R,Channel 2,18
34.000000000004555,0.9112149532710826,145,Amit_1,R,Channel 3,18
41.00000000000364,1.0,120,Amit_1,R,Channel 4,18
139.99999999999727,0.8571428571428794,100,Amit_1,R,Channel 5,18
48.0,1.0,80,Amit_1,R,Channel 6,18
50.0,1.0,60,Amit_1,R,Channel 7,18
37.0,1.0,40,Amit_1,R,Channel 8,18
11.09999999999986,2.5,400,Amit_1,R,CoP,18
1015.9999999999382,0.07042253521196443,380,Amit_1,R,vGRF,18
35.0,0.7821229050288877,200,Amit_1,L,Channel 1,19
0.0,0.8994708994709341,170,Amit_1,L,Channel 2,19
41.0,1.0,145,Amit_1,L,Channel 3,19
0.0,1.0,120,Amit_1,L,Channel 4,19
39.0,1.0,100,Amit_1,L,Channel 5,19
47.0,1.0,80,Amit_1,L,Channel 6,19
0.0,1.0,60,Amit_1,L,Channel 7,19
1.0913492332075215e-11,0.8571428571429505,40,Amit_1,L,Channel 8,19
13.81,2.5,400,Amit_1,L,CoP,19
1235.410000000021,0.04564125969876643,380,Amit_1,L,vGRF,19
0.0,0.7070707070724579,200,Amit_1,R,Channel 1,19
37.0,0.37694013303769547,170,Amit_1,R,Channel 2,19
34.99999999999363,1.0,145,Amit_1,R,Channel 3,19
45.0,1.0,120,Amit_1,R,Channel 4,19
158.99999999999636,0.5660377358491201,100,Amit_1,R,Channel 5,19
51.0,1.0,80,Amit_1,R,Channel 6,19
51.99999999998272,1.0,60,Amit_1,R,Channel 7,19
40.0,1.0,40,Amit_1,R,Channel 8,19
11.46,2.5,400,Amit_1,R,CoP,19
1005.0000000000164,0.06876227897934176,380,Amit_1,R,vGRF,19
40.0,0.6363636363636774,200,Amit_1,L,Channel 1,20
23.00000000001819,1.0,170,Amit_1,L,Channel 2,20
43.0,1.0,145,Amit_1,L,Channel 3,20
0.0,1.0,120,Amit_1,L,Channel 4,20
46.0,1.0,100,Amit_1,L,Channel 5,20
48.0,1.0,80,Amit_1,L,Channel 6,20
0.0,1.0,60,Amit_1,L,Channel 7,20
70.00000000000182,0.42857142857141745,40,Amit_1,L,Channel 8,20
13.7,2.5,400,Amit_1,L,CoP,20
1178.3599999999963,0.04665360365764596,380,Amit_1,L,vGRF,20
0.0,0.6796116504854369,200,Amit_1,R,Channel 1,20
39.0,0.3752759381898515,170,Amit_1,R,Channel 2,20
34.99999999999136,0.9605911330052643,145,Amit_1,R,Channel 3,20
43.000000000005464,1.0,120,Amit_1,R,Channel 4,20
155.99999999998545,0.7317073170732573,100,Amit_1,R,Channel 5,20
52.0,1.0,80,Amit_1,R,Channel 6,20
51.0,1.0,60,Amit_1,R,Channel 7,20
38.0,1.0,40,Amit_1,R,Channel 8,20
10.93500000000012,2.5,400,Amit_1,R,CoP,20
1042.9999999999236,0.067178502879598,380,Amit_1,R,vGRF,20
44.0,0.7329842931942204,200,Amit_1,L,Channel 1,21
27.0,1.0,170,Amit_1,L,Channel 2,21
46.00000000000182,1.0,145,Amit_1,L,Channel 3,21
0.0,1.0,120,Amit_1,L,Channel 4,21
46.0,1.0,100,Amit_1,L,Channel 5,21
47.00000000000182,1.0,80,Amit_1,L,Channel 6,21
29.0,1.0,60,Amit_1,L,Channel 7,21
95.00000000001091,0.31578947368417426,40,Amit_1,L,Channel 8,21
12.579999999999872,2.5,400,Amit_1,L,CoP,21
1100.5049999999924,0.05541174887395706,380,Amit_1,L,vGRF,21
0.0,0.8235294117647421,200,Amit_1,R,Channel 1,21
42.0,0.39443155452442047,170,Amit_1,R,Channel 2,21
38.99999999995634,0.9466019417473968,145,Amit_1,R,Channel 3,21
46.0,1.0,120,Amit_1,R,Channel 4,21
180.0,0.5202312138729872,100,Amit_1,R,Channel 5,21
61.99999999999454,1.0,80,Amit_1,R,Channel 6,21
51.0,1.0,60,Amit_1,R,Channel 7,21
40.0,1.0,40,Amit_1,R,Channel 8,21
10.09999999999818,2.5,400,Amit_1,R,CoP,21
989.0000000000564,0.07291666666667472,380,Amit_1,R,vGRF,21
39.0,0.6542056074767609,200,Amit_1,L,Channel 1,22
25.0,1.0,170,Amit_1,L,Channel 2,22
45.00000000000182,1.0,145,Amit_1,L,Channel 3,22
0.0,1.0,120,Amit_1,L,Channel 4,22
45.0,1.0,100,Amit_1,L,Channel 5,22
48.0,1.0,80,Amit_1,L,Channel 6,22
29.0,1.0,60,Amit_1,L,Channel 7,22
171.00000000001637,0.17543859649121127,40,Amit_1,L,Channel 8,22
13.439999999999936,2.5,400,Amit_1,L,CoP,22
1214.7800000000082,0.045357938935276745,380,Amit_1,L,vGRF,22
0.0,0.6603773584905747,200,Amit_1,R,Channel 1,22
38.0,0.3679653679653709,170,Amit_1,R,Channel 2,22
33.0,1.0,145,Amit_1,R,Channel 3,22
42.0,1.0,120,Amit_1,R,Channel 4,22
127.00000000001091,0.7377049180356178,100,Amit_1,R,Channel 5,22
48.99999999999909,1.0,80,Amit_1,R,Channel 6,22
50.0,1.0,60,Amit_1,R,Channel 7,22
37.00000000001638,1.0,40,Amit_1,R,Channel 8,22
11.259999999999545,2.5,400,Amit_1,R,CoP,22
975.9999999999591,0.0724637681167634,380,Amit_1,R,vGRF,22
41.0,0.7070707070707705,200,Amit_1,L,Channel 1,23
30.0,1.0,170,Amit_1,L,Channel 2,23
46.0,1.0,145,Amit_1,L,Channel 3,23
0.0,1.0,120,Amit_1,L,Channel 4,23
46.0,1.0,100,Amit_1,L,Channel 5,23
47.0,1.0,80,Amit_1,L,Channel 6,23
28.0,1.0,60,Amit_1,L,Channel 7,23
151.0,0.1986754966887417,40,Amit_1,L,Channel 8,23
13.489999999999872,2.5,400,Amit_1,L,CoP,23
1232.6200000001047,0.04494555167453963,380,Amit_1,L,vGRF,23
0.0,0.5668016194337006,200,Amit_1,R,Channel 1,23
37.0,0.3556485355648906,170,Amit_1,R,Channel 2,23
35.000000000009095,0.8986175115208647,145,Amit_1,R,Channel 3,23
42.0,1.0,120,Amit_1,R,Channel 4,23
136.0,0.7563025210092569,100,Amit_1,R,Channel 5,23
49.0,1.0,80,Amit_1,R,Channel 6,23
51.0,1.0,60,Amit_1,R,Channel 7,23
40.0,1.0,40,Amit_1,R,Channel 8,23
10.574999999999946,2.5,400,Amit_1,R,CoP,23
990.9999999999345,0.07276507276570955,380,Amit_1,R,vGRF,23
39.0,0.7216494845360825,200,Amit_1,L,Channel 1,24
26.0,1.0,170,Amit_1,L,Channel 2,24
42.000000000004555,1.0,145,Amit_1,L,Channel 3,24
0.0,1.0,120,Amit_1,L,Channel 4,24
46.0,1.0,100,Amit_1,L,Channel 5,24
47.0,1.0,80,Amit_1,L,Channel 6,24
10.0,1.0,60,Amit_1,L,Channel 7,24
73.99999999995909,0.4054054054056295,40,Amit_1,L,Channel 8,24
13.609999999999872,2.5,400,Amit_1,L,CoP,24
1244.599999999999,0.04577257568823675,380,Amit_1,L,vGRF,24
0.0,0.6796116504854729,200,Amit_1,R,Channel 1,24
39.0,0.36956521739130727,170,Amit_1,R,Channel 2,24
36.0,0.9948979591836735,145,Amit_1,R,Channel 3,24
43.0,1.0,120,Amit_1,R,Channel 4,24
144.0,0.8108108108108109,100,Amit_1,R,Channel 5,24
49.0,1.0,80,Amit_1,R,Channel 6,24
