baseline,gain,offset,record,side,signal,trial
1276.0000000000327,0.0464190981432341,380,sir_1,R,vGRF,11
54.00000000000364,0.8536585365853848,200,sir_1,L,Channel 1,12
87.00000000000864,1.0,170,sir_1,L,Channel 2,12
52.0,1.0,145,sir_1,L,Channel 3,12
77.0000000000091,1.0,120,sir_1,L,Channel 4,12
116.00000000000728,1.0,100,sir_1,L,Channel 5,12
103.99999999999181,1.0,80,sir_1,L,Channel 6,12
32.0,1.0,60,sir_1,L,Channel 7,12
168.0000000000009,0.2000000000000151,40,sir_1,L,Channel 8,12
16.1,2.5,400,sir_1,L,CoP,12
2352.88999999998,0.039064679948659704,380,sir_1,L,vGRF,12
47.999999999999545,0.6194690265486713,200,sir_1,R,Channel 1,12
180.0,0.8585858585858586,170,sir_1,R,Channel 2,12
41.0,0.7090909090909366,145,sir_1,R,Channel 3,12
105.0,1.0,120,sir_1,R,Channel 4,12
288.0,0.6766917293233082,100,sir_1,R,Channel 5,12
182.0,0.5555555555555556,80,sir_1,R,Channel 6,12
224.0,0.3355704697986641,60,sir_1,R,Channel 7,12
211.0,0.17647058823529413,40,sir_1,R,Channel 8,12
9.67,2.5,400,sir_1,R,CoP,12
1284.0,0.04641909814324575,380,sir_1,R,vGRF,12
65.0,0.9589041095891286,200,sir_1,L,Channel 1,13
102.00000000000546,1.0,170,sir_1,L,Channel 2,13
51.000000000005,1.0,145,sir_1,L,Channel 3,13
96.0,1.0,120,sir_1,L,Channel 4,13
124.99999999999727,1.0,100,sir_1,L,Channel 5,13
106.0,1.0,80,sir_1,L,Channel 6,13
31.999999999994543,1.0,60,sir_1,L,Channel 7,13
187.5000000000001,0.17391304347826123,40,sir_1,L,Channel 8,13
15.980000000000073,2.5,400,sir_1,L,CoP,13
2331.9199999999983,0.03932981986942575,380,sir_1,L,vGRF,13
122.00000000000136,1.0,200,sir_1,R,Channel 1,13
250.0,0.7476635514018691,170,sir_1,R,Channel 2,13
128.999999999995,1.0,145,sir_1,R,Channel 3,13
148.0000000000009,0.9999999999999918,120,sir_1,R,Channel 4,13
342.0,0.46632124352333726,100,sir_1,R,Channel 5,13
234.99999999998818,0.386740331491738,80,sir_1,R,Channel 6,13
278.0,0.24390243902439024,60,sir_1,R,Channel 7,13
284.0,0.12244897959184117,40,sir_1,R,Channel 8,13
9.72,2.5,400,sir_1,R,CoP,13
1283.000000000001,0.04660452729695854,380,sir_1,R,vGRF,13
60.0,0.8284023668639053,200,sir_1,L,Channel 1,14
83.0,1.0,170,sir_1,L,Channel 2,14
51.00000000000727,1.0,145,sir_1,L,Channel 3,14
87.99999999999909,1.0,120,sir_1,L,Channel 4,14
128.00000000000273,1.0,100,sir_1,L,Channel 5,14
110.99999999999318,1.0,80,sir_1,L,Channel 6,14
33.0,1.0,60,sir_1,L,Channel 7,14
147.99999999999955,0.23255813953488455,40,sir_1,L,Channel 8,14
16.369999999999955,2.5,400,sir_1,L,CoP,14
2316.53,0.03877815571091483,380,sir_1,L,vGRF,14
68.0,0.7216494845360825,200,sir_1,R,Channel 1,14
189.0,0.8095238095238266,170,sir_1,R,Channel 2,14
42.0,0.7116788321167892,145,sir_1,R,Channel 3,14
86.99999999999044,1.0,120,sir_1,R,Channel 4,14
285.0,0.6569343065694683,100,sir_1,R,Channel 5,14
158.0,0.693069306930693,80,sir_1,R,Channel 6,14
213.0,0.34965034965034963,60,sir_1,R,Channel 7,14
235.0000000000041,0.15463917525773593,40,sir_1,R,Channel 8,14
10.02,2.5,400,sir_1,R,CoP,14
1238.0,0.05094614264934386,380,sir_1,R,vGRF,14
44.0,0.8284023668639192,200,sir_1,L,Channel 1,15
72.00000000001364,1.0,170,sir_1,L,Channel 2,15
50.000000000000455,1.0,145,sir_1,L,Channel 3,15
