alternative_transition_end_seconds,alternative_transition_start_seconds,clock_offset_seconds,flags,fmg_edges,fmg_gaps,full_fmg_seconds,full_insole_seconds,gi_end_seconds,gt_start_seconds,insole_edges,insole_gaps,invalid_fmg_rows_in_source,invalid_insole_rows_in_source,load_peaks_left,load_peaks_right,matched_edges,max_matched_residual_seconds,missing_fmg_edge_numbers,nonmonotonic_or_duplicate_timestamps,onset_seconds,png,record,reference_limb,segmented_csv,sequence_assumption,side,slt_end_seconds,slt_start_seconds,status,transition_improvement,transition_support,trial,trigger_boundary_status,trigger_end_error_seconds
12.17,4.77,12.879999999999995,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,21.8599999999999,21.870000000000005,2.64,15.21,40,0,7,6,11,12,40,0.010000000000104592,[],43,1.76,sub_1/trial_16_r_complete.png,sub_1,R,segmented_data\sub_1\trial_16_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,9.84,8.63,provisional six-phase fit,0.3031,weak/ambiguous pattern evidence,16,observed,0.010000000000104592
15.46,10.66,2.7000000000000455,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,24.42999999999995,24.440000000000055,7.3,19.56,40,0,7,4,12,11,40,0.010000000000104592,[],48,6.49,sub_1/trial_17_l_complete.png,sub_1,L,segmented_data\sub_1\trial_17_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,12.89,11.46,provisional six-phase fit,0.3221,weak/ambiguous pattern evidence,17,observed,0.010000000000104592
15.46,10.66,12.879999999999995,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,24.42999999999995,24.42999999999995,7.3,19.56,40,0,7,6,12,11,40,0.010000000000104592,[],48,6.49,sub_1/trial_17_r_complete.png,sub_1,L,segmented_data\sub_1\trial_17_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,12.89,11.46,provisional six-phase fit,0.3221,weak/ambiguous pattern evidence,17,observed,0.0
11.88,4.84,2.7000000000000455,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,19.17999999999995,19.180000000000064,2.47,15.41,40,0,7,4,11,12,40,0.010000000000104592,[],55,1.9,sub_1/trial_18_l_complete.png,sub_1,R,segmented_data\sub_1\trial_18_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,10.71,9.57,provisional six-phase fit,0.2274,weak/ambiguous pattern evidence,18,observed,1.1368683772161603e-13
11.88,4.84,12.879999999999995,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,19.17999999999995,19.16999999999996,2.47,15.41,40,0,7,6,11,12,40,0.010000000000104592,[],55,1.9,sub_1/trial_18_r_complete.png,sub_1,R,segmented_data\sub_1\trial_18_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,10.71,9.57,provisional six-phase fit,0.2274,weak/ambiguous pattern evidence,18,observed,-0.009999999999990905
11.38,5.58,2.7000000000000455,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,19.539999999999964,19.550000000000068,2.89,15.14,40,0,7,4,11,11,40,0.010000000000104592,[],38,2.31,sub_1/trial_19_l_complete.png,sub_1,L,segmented_data\sub_1\trial_19_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,6.38,5.58,provisional six-phase fit,0.2366,weak/ambiguous pattern evidence,19,observed,0.010000000000104592
11.38,5.58,12.879999999999995,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,19.539999999999964,19.540000000000077,2.89,15.14,40,0,7,6,11,11,40,0.010000000000104592,[],38,2.31,sub_1/trial_19_r_complete.png,sub_1,L,segmented_data\sub_1\trial_19_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,6.38,5.58,provisional six-phase fit,0.2366,weak/ambiguous pattern evidence,19,observed,1.1368683772161603e-13
12.32,7.6,2.7000000000000455,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,19.32000000000005,19.329999999999927,2.84,15.63,40,0,7,4,11,12,40,0.010000000000104592,[],53,2.31,sub_1/trial_20_l_complete.png,sub_1,R,segmented_data\sub_1\trial_20_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,11.07,9.94,provisional six-phase fit,0.3392,weak/ambiguous pattern evidence,20,observed,0.009999999999877218
12.32,7.6,12.879999999999995,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,19.32000000000005,19.32000000000005,2.84,15.63,40,0,7,6,11,12,40,0.010000000000104592,[],53,2.31,sub_1/trial_20_r_complete.png,sub_1,R,segmented_data\sub_1\trial_20_r_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",R,11.07,9.94,provisional six-phase fit,0.3392,weak/ambiguous pattern evidence,20,observed,0.0
11.46,7.78,2.7000000000000455,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous,40,0,19.120000000000005,19.120000000000005,3.32,16.25,39,0,5,0,11,12,39,0.08000000000004093,[32],39,2.94,sub_21/trial_01_l_complete.png,sub_21,R,segmented_data\sub_21\trial_01_l_segmented.csv,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",L,10.11,8.96,provisional six-phase fit,0.4937,weak/ambiguous pattern evidence,1,observed,0.0
