png,source_complete_graph,source_segmented_csv,status,gt_start_seconds,gt_end_seconds
Sub01_A/jitu_1/trial_07_r.png,tempgraphs/sub01_a/jitu_1/trial_07_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_07_r_segmented.csv,created: exact completed-graph display transform,21.41,23.85
Sub01_A/jitu_1/trial_08_l.png,tempgraphs/sub01_a/jitu_1/trial_08_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_08_l_segmented.csv,created: exact completed-graph display transform,19.00,22.72
Sub01_A/jitu_1/trial_08_r.png,tempgraphs/sub01_a/jitu_1/trial_08_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_08_r_segmented.csv,created: exact completed-graph display transform,19.00,22.72
Sub01_A/jitu_1/trial_09_l.png,tempgraphs/sub01_a/jitu_1/trial_09_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_09_l_segmented.csv,created: exact completed-graph display transform,21.43,24.72
Sub01_A/jitu_1/trial_09_r.png,tempgraphs/sub01_a/jitu_1/trial_09_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_09_r_segmented.csv,created: exact completed-graph display transform,21.43,24.72
Sub01_A/jitu_1/trial_10_l.png,tempgraphs/sub01_a/jitu_1/trial_10_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_10_l_segmented.csv,created: exact completed-graph display transform,19.64,24.61
Sub01_A/jitu_1/trial_10_r.png,tempgraphs/sub01_a/jitu_1/trial_10_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_1/trial_10_r_segmented.csv,created: exact completed-graph display transform,19.64,24.61
Sub01_A/jitu_21/trial_01_l.png,tempgraphs/sub01_a/jitu_21/trial_01_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_01_l_segmented.csv,created: exact completed-graph display transform,19.67,24.64
Sub01_A/jitu_21/trial_01_r.png,tempgraphs/sub01_a/jitu_21/trial_01_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_01_r_segmented.csv,created: exact completed-graph display transform,19.67,24.64
Sub01_A/jitu_21/trial_02_l.png,tempgraphs/sub01_a/jitu_21/trial_02_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_02_l_segmented.csv,created: exact completed-graph display transform,20.20,23.74
Sub01_A/jitu_21/trial_02_r.png,tempgraphs/sub01_a/jitu_21/trial_02_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_02_r_segmented.csv,created: exact completed-graph display transform,20.20,23.74
Sub01_A/jitu_21/trial_03_l.png,tempgraphs/sub01_a/jitu_21/trial_03_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_03_l_segmented.csv,created: exact completed-graph display transform,21.84,25.53
Sub01_A/jitu_21/trial_03_r.png,tempgraphs/sub01_a/jitu_21/trial_03_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_03_r_segmented.csv,created: exact completed-graph display transform,21.84,25.53
