normalized_sslw_percent,fmg_channel_1_mean,fmg_channel_1_standard_deviation,contributing_trace_count
72.2408026756,302.752424749,180.349919827,40
72.5752508361,301.01229097,180.079525781,40
72.9096989967,297.735535117,180.15250617,40
73.2441471572,304.135953177,184.151819855,40
73.5785953177,319.096488294,195.460473896,40
73.9130434783,329.688043478,204.574736388,40
74.2474916388,337.674331104,213.493157465,40
74.5819397993,341.17993311,216.888856301,40
74.9163879599,341.604598662,218.966510885,40
75.2508361204,344.179389632,221.728859733,40
75.5852842809,347.073244147,223.740118345,40
75.9197324415,352.622408027,227.446257646,40
76.254180602,354.707441472,229.294931054,40
76.5886287625,357.687123746,229.918054174,40
76.9230769231,357.511538462,229.517580349,40
77.2575250836,359.580100334,231.916122438,40
77.5919732441,364.072951505,236.55964208,40
77.9264214047,367.844983278,239.073247192,40
78.2608695652,373.511956522,239.628023505,40
78.5953177258,376.668645485,239.489904882,40
78.9297658863,378.540384615,239.25516978,40
79.2642140468,370.943896321,233.607949276,40
79.5986622074,361.028010033,229.67562317,40
79.9331103679,349.017140468,227.966920147,40
80.2675585284,341.422115385,230.926935175,40
80.602006689,337.433695652,233.160210498,40
80.9364548495,335.568770903,233.789234696,40
81.27090301,335.998160535,231.38274171,40
81.6053511706,334.079891304,228.166023424,40
81.9397993311,335.622993311,224.008041677,40
82.2742474916,336.234280936,220.634171128,40
82.6086956522,336.630434783,217.057764998,40
82.9431438127,334.876546823,213.047216244,40
83.2775919732,333.456145485,208.362485016,40
83.6120401338,333.126086957,204.322390396,40
83.9464882943,331.068060201,200.043667444,40
84.2809364548,331.92173913,199.609879651,40
84.6153846154,333.825,200.12209438,40
84.9498327759,331.48770903,197.230558122,40
