png,source_complete_graph,source_segmented_csv,status,sslw_start_seconds,sslw_end_seconds
Sub08_H/sir_1/trial_15_r.png,tempgraphs/Sub08_H/sir_1/trial_15_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_15_r_segmented.csv,created: exact completed-graph display transform,10.86,18.86
Sub08_H/sir_1/trial_16_l.png,tempgraphs/Sub08_H/sir_1/trial_16_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_16_l_segmented.csv,created: exact completed-graph display transform,11.73,15.93
Sub08_H/sir_1/trial_16_r.png,tempgraphs/Sub08_H/sir_1/trial_16_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_16_r_segmented.csv,created: exact completed-graph display transform,11.73,15.93
Sub08_H/sir_1/trial_17_l.png,tempgraphs/Sub08_H/sir_1/trial_17_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_17_l_segmented.csv,created: exact completed-graph display transform,9.68,18.7
Sub08_H/sir_1/trial_17_r.png,tempgraphs/Sub08_H/sir_1/trial_17_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_17_r_segmented.csv,created: exact completed-graph display transform,9.68,18.7
Sub08_H/sir_1/trial_18_l.png,tempgraphs/Sub08_H/sir_1/trial_18_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_18_l_segmented.csv,created: exact completed-graph display transform,11.02,16.74
Sub08_H/sir_1/trial_18_r.png,tempgraphs/Sub08_H/sir_1/trial_18_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_18_r_segmented.csv,created: exact completed-graph display transform,11.02,16.74
Sub08_H/sir_1/trial_19_l.png,tempgraphs/Sub08_H/sir_1/trial_19_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_19_l_segmented.csv,created: exact completed-graph display transform,8.45,16.39
Sub08_H/sir_1/trial_19_r.png,tempgraphs/Sub08_H/sir_1/trial_19_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_19_r_segmented.csv,created: exact completed-graph display transform,8.45,16.39
Sub08_H/sir_1/trial_20_l.png,tempgraphs/Sub08_H/sir_1/trial_20_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_20_l_segmented.csv,created: exact completed-graph display transform,12.80,18.52
Sub08_H/sir_1/trial_20_r.png,tempgraphs/Sub08_H/sir_1/trial_20_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_20_r_segmented.csv,created: exact completed-graph display transform,12.80,18.52
Sub08_H/sir_1/trial_21_l.png,tempgraphs/Sub08_H/sir_1/trial_21_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_21_l_segmented.csv,created: exact completed-graph display transform,7.71,16.86
Sub08_H/sir_1/trial_21_r.png,tempgraphs/Sub08_H/sir_1/trial_21_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_1/trial_21_r_segmented.csv,created: exact completed-graph display transform,7.71,16.86
Sub08_H/sir_21/trial_01_l.png,tempgraphs/Sub08_H/sir_21/trial_01_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_01_l_segmented.csv,created: exact completed-graph display transform,17.03,21.37
Sub08_H/sir_21/trial_01_r.png,tempgraphs/Sub08_H/sir_21/trial_01_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_01_r_segmented.csv,created: exact completed-graph display transform,17.03,21.37
Sub08_H/sir_21/trial_02_l.png,tempgraphs/Sub08_H/sir_21/trial_02_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_02_l_segmented.csv,created: exact completed-graph display transform,9.83,16.36
Sub08_H/sir_21/trial_02_r.png,tempgraphs/Sub08_H/sir_21/trial_02_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_02_r_segmented.csv,created: exact completed-graph display transform,9.83,16.36
Sub08_H/sir_21/trial_03_l.png,tempgraphs/Sub08_H/sir_21/trial_03_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_03_l_segmented.csv,created: exact completed-graph display transform,11.73,16.42
Sub08_H/sir_21/trial_03_r.png,tempgraphs/Sub08_H/sir_21/trial_03_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_03_r_segmented.csv,created: exact completed-graph display transform,11.73,16.42
Sub08_H/sir_21/trial_04_l.png,tempgraphs/Sub08_H/sir_21/trial_04_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_04_l_segmented.csv,created: exact completed-graph display transform,13.97,16.67
Sub08_H/sir_21/trial_04_r.png,tempgraphs/Sub08_H/sir_21/trial_04_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_04_r_segmented.csv,created: exact completed-graph display transform,13.97,16.67
Sub08_H/sir_21/trial_05_l.png,tempgraphs/Sub08_H/sir_21/trial_05_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_05_l_segmented.csv,created: exact completed-graph display transform,10.68,15.21
Sub08_H/sir_21/trial_05_r.png,tempgraphs/Sub08_H/sir_21/trial_05_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_05_r_segmented.csv,created: exact completed-graph display transform,10.68,15.21
Sub08_H/sir_21/trial_06_l.png,tempgraphs/Sub08_H/sir_21/trial_06_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_06_l_segmented.csv,created: exact completed-graph display transform,8.06,16.84
Sub08_H/sir_21/trial_06_r.png,tempgraphs/Sub08_H/sir_21/trial_06_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_06_r_segmented.csv,created: exact completed-graph display transform,8.06,16.84
Sub08_H/sir_21/trial_07_l.png,tempgraphs/Sub08_H/sir_21/trial_07_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_07_l_segmented.csv,created: exact completed-graph display transform,7.35,16.75
Sub08_H/sir_21/trial_07_r.png,tempgraphs/Sub08_H/sir_21/trial_07_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_07_r_segmented.csv,created: exact completed-graph display transform,7.35,16.75
Sub08_H/sir_21/trial_08_l.png,tempgraphs/Sub08_H/sir_21/trial_08_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_08_l_segmented.csv,created: exact completed-graph display transform,10.63,17.19
Sub08_H/sir_21/trial_08_r.png,tempgraphs/Sub08_H/sir_21/trial_08_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_08_r_segmented.csv,created: exact completed-graph display transform,10.63,17.19
Sub08_H/sir_21/trial_09_l.png,tempgraphs/Sub08_H/sir_21/trial_09_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_09_l_segmented.csv,created: exact completed-graph display transform,8.96,15.55
Sub08_H/sir_21/trial_09_r.png,tempgraphs/Sub08_H/sir_21/trial_09_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_09_r_segmented.csv,created: exact completed-graph display transform,8.96,15.55
