png,source_complete_graph,source_segmented_csv,status,sssw_start_seconds,sssw_end_seconds
Sub08_H/sir_21/trial_03_r.png,tempgraphs/Sub08_H/sir_21/trial_03_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_03_r_segmented.csv,created: exact completed-graph display transform,5.80,10.62
Sub08_H/sir_21/trial_04_l.png,tempgraphs/Sub08_H/sir_21/trial_04_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_04_l_segmented.csv,created: exact completed-graph display transform,4.38,12.5
Sub08_H/sir_21/trial_04_r.png,tempgraphs/Sub08_H/sir_21/trial_04_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_04_r_segmented.csv,created: exact completed-graph display transform,4.38,12.5
Sub08_H/sir_21/trial_05_l.png,tempgraphs/Sub08_H/sir_21/trial_05_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_05_l_segmented.csv,created: exact completed-graph display transform,3.53,9.22
Sub08_H/sir_21/trial_05_r.png,tempgraphs/Sub08_H/sir_21/trial_05_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_05_r_segmented.csv,created: exact completed-graph display transform,3.53,9.22
Sub08_H/sir_21/trial_06_l.png,tempgraphs/Sub08_H/sir_21/trial_06_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_06_l_segmented.csv,created: exact completed-graph display transform,4.20,6.56
Sub08_H/sir_21/trial_06_r.png,tempgraphs/Sub08_H/sir_21/trial_06_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_06_r_segmented.csv,created: exact completed-graph display transform,4.20,6.56
Sub08_H/sir_21/trial_07_l.png,tempgraphs/Sub08_H/sir_21/trial_07_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_07_l_segmented.csv,created: exact completed-graph display transform,3.88,6.13
Sub08_H/sir_21/trial_07_r.png,tempgraphs/Sub08_H/sir_21/trial_07_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_07_r_segmented.csv,created: exact completed-graph display transform,3.88,6.13
Sub08_H/sir_21/trial_08_l.png,tempgraphs/Sub08_H/sir_21/trial_08_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_08_l_segmented.csv,created: exact completed-graph display transform,5.08,9.41
Sub08_H/sir_21/trial_08_r.png,tempgraphs/Sub08_H/sir_21/trial_08_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_08_r_segmented.csv,created: exact completed-graph display transform,5.08,9.41
Sub08_H/sir_21/trial_09_l.png,tempgraphs/Sub08_H/sir_21/trial_09_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_09_l_segmented.csv,created: exact completed-graph display transform,2.80,7.6
