normalized_sssw_percent,display_fmg_channel_1_mean,display_fmg_channel_2_mean,display_fmg_channel_3_mean,display_fmg_channel_4_mean,display_fmg_channel_5_mean,display_fmg_channel_6_mean,display_fmg_channel_7_mean,display_fmg_channel_8_mean,display_cop_mean,display_vgrf_mean,display_fmg_channel_1_standard_deviation,display_fmg_channel_2_standard_deviation,display_fmg_channel_3_standard_deviation,display_fmg_channel_4_standard_deviation,display_fmg_channel_5_standard_deviation,display_fmg_channel_6_standard_deviation,display_fmg_channel_7_standard_deviation,display_fmg_channel_8_standard_deviation,display_cop_standard_deviation,display_vgrf_standard_deviation,fmg_channel_1_contributing_trace_count,fmg_channel_2_contributing_trace_count,fmg_channel_3_contributing_trace_count,fmg_channel_4_contributing_trace_count,fmg_channel_5_contributing_trace_count,fmg_channel_6_contributing_trace_count,fmg_channel_7_contributing_trace_count,fmg_channel_8_contributing_trace_count,cop_contributing_trace_count,vgrf_contributing_trace_count
8.69565217391,162.158297395,184.031978736,135.287483058,97.6264907784,91.2792690808,97.9681270837,52.094020259,34.860026719,400.226558757,377.224308893,69.3711892903,71.2435577773,45.7402560147,38.4392858463,38.594484896,57.2115149216,20.3887631913,11.7250422056,12.3388865782,13.6418015351,40,40,40,40,40,40,40,40,40,40
9.03010033445,159.820545384,181.248731504,132.331080255,96.1187209808,88.8310412811,96.0964116376,51.1056585031,34.3647031694,400.025828268,377.704784936,70.7465485433,73.9123511387,46.7232485395,39.4780289435,38.9997195488,58.1020830244,20.9496733459,11.8365473573,12.4500672019,13.3105471598,40,40,40,40,40,40,40,40,40,40
9.36454849498,157.952107486,177.967779809,129.131333982,94.3383590093,85.6666702846,95.4971784001,49.8176803233,33.603698526,398.737476748,378.503180386,71.967407536,76.7491073777,46.5575259332,40.6309169111,38.9013477042,61.4543902053,21.3223389665,11.7680178802,11.2913717312,12.8694178268,40,40,40,40,40,40,40,40,40,40
9.69899665552,155.02993706,173.737567523,125.950106289,92.5260978839,83.1137001306,92.6004387975,48.6226648459,32.9968632266,398.767601331,378.950602541,72.4676032527,77.9400177626,46.1352773762,41.4836609309,39.0210383375,60.73758199,21.5052052123,11.7469697119,11.4808597239,12.7523790664,40,40,40,40,40,40,40,40,40,40
10.0334448161,151.765160599,167.874427761,122.806126231,90.6811383207,80.6372898088,90.2742751536,47.154322291,32.4263290958,396.727218517,379.018080779,72.5330400334,78.6383262831,45.4727173409,42.356894695,38.3882334407,60.643524915,21.6735763501,11.7175694656,8.63481380016,12.5333225023,40,40,40,40,40,40,40,40,40,40
10.3678929766,147.937352104,163.664881166,120.831486384,89.1104298017,78.7378791208,87.2260164484,45.7111678546,31.7146176624,396.725190443,379.078139122,73.0069902012,77.7994869047,44.286775234,42.604732458,37.8715811023,58.6874979367,21.5215467032,11.583221548,8.51915159468,12.6222026499,40,40,40,40,40,40,40,40,40,40
10.7023411371,143.481254219,157.696466781,118.281447279,87.7718559163,76.3568478216,83.0357916858,44.3703746636,31.019467783,395.928718227,379.063526958,73.9017760622,76.436012606,43.3362319472,42.9192263579,37.8662130498,54.1548098861,21.6015559342,11.5342143681,6.87475077233,12.9968311725,40,40,40,40,40,40,40,40,40,40
11.0367892977,140.406505895,151.548408212,115.624052437,86.109259793,73.7036409713,80.4570625766,43.1274774191,30.2957226132,395.952444872,379.255058148,74.0903395717,76.1033479238,42.8964074372,43.4690344306,38.5172309124,53.0993145648,21.7347002157,11.5699712129,6.67343930827,13.2160768448,40,40,40,40,40,40,40,40,40,40
11.3712374582,138.090044481,148.062599231,113.211679781,84.806772189,72.017695211,78.8083688562,42.0371706547,29.8139556834,395.381383144,379.438887184,74.2229586285,78.5279616355,43.0449483255,44.1491936213,39.0285746709,53.7391093931,22.2474686918,11.7910073732,4.29720333117,13.4473583283,40,40,40,40,40,40,40,40,40,40
11.7056856187,135.938367341,144.664065056,110.921506883,83.7131974527,70.854354049,77.5493950915,41.3348201813,29.4309781986,395.141967476,379.792497657,73.932228864,79.7620001052,44.5158673334,44.4498527252,39.883350224,54.0208683691,22.3973136627,12.0413339266,4.08445418354,13.8011845976,40,40,40,40,40,40,40,40,40,40
12.0401337793,135.007405584,140.723847886,108.55382005,82.7308774661,69.9314846914,75.5446915399,40.9715605171,29.2035271557,395.209811136,380.042161568,74.2614330594,79.4023534422,47.1772332919,44.8469043277,40.7537848647,52.2669643266,22.6262040843,12.3192848827,4.09495245246,14.037127772,40,40,40,40,40,40,40,40,40,40
12.3745819398,134.381520421,137.486434773,107.374792288,81.9783731814,69.1723606707,73.961806144,40.6541364531,29.0185437545,395.315450821,380.229782301,74.1203983667,78.980926575,48.8216742456,45.5750508926,41.6720277352,50.7031404869,22.8176080113,12.4861348978,4.11472797676,14.1612771908,40,40,40,40,40,40,40,40,40,40
12.7090301003,134.148891694,135.542287272,106.228471214,81.4891313578,68.4655663755,72.5735597778,40.4415611417,28.9409198871,395.397498324,380.218276826,74.7864901716,78.8818791359,50.6056762939,46.147607901,42.5655688374,49.7239647548,23.0207242484,12.7352568091,4.14477004226,14.1910427006,40,40,40,40,40,40,40,40,40,40
13.0434782609,133.797239699,133.925037884,105.58559162,81.663140794,68.3523005269,71.2414156697,40.2688938202,28.8380444914,395.475248168,380.206375875,75.8237799279,78.3894307441,52.0667340974,46.2535305677,43.1195414143,48.0164797361,23.1361774832,12.854390952,4.18380835866,14.2451100208,40,40,40,40,40,40,40,40,40,40
13.3779264214,133.191375178,132.561439785,105.115289507,81.8738999068,68.6126685293,70.3955440758,40.2405088055,28.7362219418,395.549299608,380.344514391,76.3432223266,78.2148265199,53.3683943402,46.3857064881,43.4366763411,47.1333719891,23.2266484122,12.8380309804,4.22377076889,14.4587237384,40,40,40,40,40,40,40,40,40,40
13.7123745819,133.525199495,131.909974671,105.072924755,82.4453821358,68.7855273807,70.3590721868,40.3027674591,28.8738805028,395.625629031,380.333990933,76.0245222907,77.8442595592,54.0298096015,46.1385964736,43.616926344,46.6634719317,23.2755899292,12.9314999145,4.26916613756,14.5970377941,40,40,40,40,40,40,40,40,40,40
14.0468227425,134.476648183,131.575790263,105.325864344,83.4266587135,69.6222191872,70.7301353353,40.6480864394,29.060350222,395.699636368,380.451233562,75.4436730015,77.2772346835,54.92431813,45.7737237309,43.5725723498,46.1454312971,23.2313956554,13.0067224196,4.32546693172,14.9108288563,40,40,40,40,40,40,40,40,40,40
14.381270903,135.929459306,130.785324264,105.398889153,84.5730348089,70.0974158624,70.8677430196,40.9252389851,29.0379111275,395.800501548,380.460746452,74.4599346981,77.0499459843,55.7124675179,45.4769693407,43.6545376505,45.9915909304,23.0215967826,12.991133087,4.43243726152,14.9694783212,40,40,40,40,40,40,40,40,40,40
14.7157190635,136.808085936,130.314079172,105.368726951,85.3787044324,70.3195444014,71.2223538673,41.291400078,29.203502842,395.866531874,380.502943031,73.4307124147,76.5115418866,56.2229437459,44.938422479,44.0740372398,45.6058394496,22.896607797,12.9799604471,4.48410278932,15.1173817847,40,40,40,40,40,40,40,40,40,40
15.0501672241,137.889557245,129.841626051,105.265961745,85.9653872123,70.7637335981,71.3188000804,41.6069003162,29.3785310188,395.955622077,380.319651004,72.2083118348,76.4078098262,56.8011779635,44.4188023064,43.9970423705,44.9147469864,22.6509023654,13.0237504311,4.6156628274,15.1848849106,40,40,40,40,40,40,40,40,40,40
15.3846153846,137.735533358,128.979988019,105.5767712,86.5550096508,71.4916641391,71.0392044477,41.91182374,29.4227205498,396.04467208,380.079653469,70.8972341083,76.2575124751,57.2703985431,43.7248012962,44.2508379155,44.0893120599,22.5083932619,12.9903896626,4.73381533178,15.1402349623,40,40,40,40,40,40,40,40,40,40
15.7190635452,137.538972993,128.516026015,105.908372192,87.0624587299,72.0974701207,70.91177915,42.1254519412,29.4872843377,396.143305918,379.945841973,70.6361313357,75.880233753,57.4053420338,43.0380768661,44.8409321441,44.0859421733,22.31012982,13.0613609547,4.81419569952,15.0268238348,40,40,40,40,40,40,40,40,40,40
16.0535117057,139.400087283,129.099158211,106.540104352,88.2931685257,72.217252339,72.1292964359,42.7945579706,29.7265297261,396.572907776,380.304557946,69.2313944925,74.8422297101,57.318497576,42.43128018,45.0681688063,44.386728025,21.890258763,13.0985729457,4.90981274069,14.8592990779,40,40,40,40,40,40,40,40,40,40
16.3879598662,141.117635461,130.251963684,107.994272406,89.9520312448,73.5306872126,73.6352505526,43.536891154,29.9465283891,396.639728076,380.251487235,67.9710520127,73.4267861508,56.5893073232,42.0297552442,44.7899407147,45.166438924,21.6523498912,12.8031811314,4.98304738082,14.9025808873,40,40,40,40,40,40,40,40,40,40
16.7224080268,143.521353211,132.544532479,110.151507223,91.3386314021,75.2045821686,76.2821737286,44.3652822273,30.4843937405,396.692666028,380.237102988,67.8446464976,72.5100106572,56.2276466806,41.6175743937,44.6238509562,47.5526503874,21.6820948214,12.8114143912,5.04624209659,14.9925016531,40,40,40,40,40,40,40,40,40,40
17.0568561873,145.43291958,134.823886592,112.381905088,92.4183012869,76.9716645605,77.3365001519,45.0038275667,30.9819886263,396.74217453,380.187882186,67.4707909486,71.8997722468,56.0592799862,41.0853482344,44.8914649489,46.872151072,21.6184953376,12.9263845804,5.09990865848,15.2447689641,40,40,40,40,40,40,40,40,40,40
17.3913043478,148.485297826,137.601463125,114.973670148,93.8577997689,78.6186016827,77.8953367213,45.9778247238,31.6156661718,396.96516384,380.684365414,66.6970578168,71.8348831966,56.6052104376,40.5149546598,44.8603969489,45.0574494682,21.6277047049,13.0395409832,5.0895218953,15.6320821344,40,40,40,40,40,40,40,40,40,40
17.7257525084,151.02571391,140.193011388,117.246671073,95.1941083406,80.0794497271,78.1484005721,46.5873407716,32.196310723,397.04591352,380.584615983,65.6454471418,71.0304362774,56.1696773707,39.6837149222,44.5937838668,44.1103218956,21.5784525394,13.0830065753,5.13363783938,16.2224834476,40,40,40,40,40,40,40,40,40,40
