normalized_sssw_percent,fmg_channel_5_mean,fmg_channel_5_standard_deviation,contributing_trace_count
70.5685618729,86.7161371237,147.310269421,40
70.9030100334,86.410451505,147.389640237,40
71.237458194,87.6809364549,148.960222086,40
71.5719063545,90.7160953177,152.04583999,40
71.9063545151,94.614464883,156.845339915,40
72.2408026756,98.1934782609,160.67905746,40
72.5752508361,101.598829431,163.584236573,40
72.9096989967,103.383277592,165.143325468,40
73.2441471572,105.334782609,166.411501022,40
73.5785953177,106.378762542,166.315381486,40
73.9130434783,107.098913043,165.761636203,40
74.2474916388,108.14673913,164.925812694,40
74.5819397993,107.544983278,162.88222514,40
74.9163879599,107.017056856,160.464834969,40
75.2508361204,105.715091973,156.927593532,40
75.5852842809,103.791220736,153.228433691,40
75.9197324415,102.556270903,150.562055946,40
76.254180602,105.071153846,149.377419507,40
76.5886287625,110.833026756,151.82750655,40
76.9230769231,115.875,155.910968457,40
77.2575250836,119.901421405,161.170548654,40
77.5919732441,122.843060201,164.856188479,40
77.9264214047,124.990635452,168.461363703,40
78.2608695652,127.279347826,171.441251818,40
78.5953177258,132.173494983,175.344482004,40
78.9297658863,134.039506689,178.807258828,40
79.2642140468,136.409364549,182.317111498,40
79.5986622074,138.645568562,184.176199879,40
79.9331103679,141.065635452,185.704330675,40
80.2675585284,142.628051839,186.712248991,40
80.602006689,142.706020067,187.186525848,40
80.9364548495,140.966889632,186.769105709,40
81.27090301,140.073913043,186.247800355,40
81.6053511706,140.542809365,185.569056559,40
81.9397993311,142.629389632,184.765491976,40
82.2742474916,144.605392977,184.211509853,40
82.6086956522,145.072826087,182.167366448,40
82.9431438127,144.044272575,178.167172336,40
83.2775919732,141.910284281,173.734306992,40
83.6120401338,140.569230769,171.556526836,40
83.9464882943,138.453929766,169.346016959,40
84.2809364548,136.684866221,168.612802677,40
84.6153846154,134.546153846,168.958659556,40
84.9498327759,134.332274247,169.301133315,40
85.2842809365,135.051212375,168.83109955,40
85.618729097,136.026505017,166.675063481,40
85.9531772575,137.139715719,162.077130028,40
86.2876254181,134.467182274,157.076144282,40
86.6220735786,130.77867893,152.43865648,40
86.9565217391,128.266304348,149.374018157,40
87.2909698997,124.528762542,145.221626138,40
87.6254180602,121.290301003,140.303479326,40
87.9598662207,117.999540134,137.292830129,40
88.2943143813,115.350083612,135.880645933,40
88.6287625418,114.173494983,135.713084578,40
88.9632107023,114.430267559,136.144449094,40
89.2976588629,114.227508361,136.878152829,40
89.6321070234,113.928762542,137.654033729,40
89.9665551839,117.531814381,141.486090029,40
90.3010033445,120.33361204,146.961043547,40
90.635451505,121.629013378,150.301773361,40
90.9698996656,123.194147157,152.732592263,40
91.3043478261,125.136956522,155.395162038,40
91.6387959866,129.675250836,158.566921328,40
91.9732441472,135.103177258,161.845087458,40
92.3076923077,140.717307692,165.229264593,40
92.6421404682,143.609448161,168.332637813,40
92.9765886288,147.600334448,171.629230974,40
93.3110367893,153.232441472,175.156635459,40
93.6454849498,158.711914716,179.956890666,40
93.9799331104,164.615802676,184.937350902,40
94.3143812709,170.280769231,189.663725828,40
94.6488294314,175.46764214,194.302668723,40
94.983277592,180.491429766,198.678444876,40
95.3177257525,184.065886288,202.196907386,40
95.652173913,186.576630435,204.091589175,40
95.9866220736,187.182608696,205.034187881,40
96.3210702341,187.86701505,207.668750496,40
96.6555183946,190.601086957,211.862971349,40
96.9899665552,196.528093645,216.579970088,40
97.3244147157,200.57951505,223.08496608,40
97.6588628763,206.834991639,228.873617555,40
97.9933110368,214.308737458,235.509088602,40
98.3277591973,223.896989967,240.474418474,40
98.6622073579,231.998996656,244.627038477,40
98.9966555184,237.26576087,250.267943159,40
99.3311036789,241.825919732,254.940723818,40
99.6655518395,245.236956522,258.389539685,40
100,246.625,260.338043465,40
