baseline,gain,offset,record,side,signal,trial
356.0,0.10714285714285775,40,jitu_1,R,Channel 8,10
3.19,2.227880330999364,400,jitu_1,R,CoP,10
149.0,0.07131537242472603,380,jitu_1,R,vGRF,10
162.0,1.0,200,jitu_21,L,Channel 1,1
43.0,1.0,170,jitu_21,L,Channel 2,1
50.999999999997726,1.0,145,jitu_21,L,Channel 3,1
42.00000000000273,1.0,120,jitu_21,L,Channel 4,1
0.0,1.0,100,jitu_21,L,Channel 5,1
54.0,1.0,80,jitu_21,L,Channel 6,1
35.00000000000273,1.0,60,jitu_21,L,Channel 7,1
34.0,1.0,40,jitu_21,L,Channel 8,1
14.569999999999808,2.5,400,jitu_21,L,CoP,1
1120.9000000000055,0.08,380,jitu_21,L,vGRF,1
631.0,0.4086021505376404,200,jitu_21,R,Channel 1,1
398.0000000000032,0.5498281786942064,170,jitu_21,R,Channel 2,1
497.0,0.5133079847908771,145,jitu_21,R,Channel 3,1
679.0,0.21032504780114722,120,jitu_21,R,Channel 4,1
398.0,0.260115606936429,100,jitu_21,R,Channel 5,1
382.0,0.2280130293159609,80,jitu_21,R,Channel 6,1
534.0,0.10799136069114545,60,jitu_21,R,Channel 7,1
451.0,0.099337748344376,40,jitu_21,R,Channel 8,1
3.17,2.456140350941329,400,jitu_21,R,CoP,1
151.00000000000227,0.07097791798107447,380,jitu_21,R,vGRF,1
161.0,1.0,200,jitu_21,L,Channel 1,2
44.0,1.0,170,jitu_21,L,Channel 2,2
51.0,1.0,145,jitu_21,L,Channel 3,2
43.0,1.0,120,jitu_21,L,Channel 4,2
0.0,1.0,100,jitu_21,L,Channel 5,2
78.0,1.0,80,jitu_21,L,Channel 6,2
37.0,1.0,60,jitu_21,L,Channel 7,2
33.99999999998545,1.0,40,jitu_21,L,Channel 8,2
13.98,2.5,400,jitu_21,L,CoP,2
1238.94,0.044837879040239614,380,jitu_21,L,vGRF,2
565.0000000000091,0.46568627450979355,200,jitu_21,R,Channel 1,2
368.00000000001455,0.6015037593986032,170,jitu_21,R,Channel 2,2
462.0,0.5895196506550566,145,jitu_21,R,Channel 3,2
646.0,0.22177419354838965,120,jitu_21,R,Channel 4,2
351.0,0.2950819672131412,100,jitu_21,R,Channel 5,2
356.0,0.2447552447552541,80,jitu_21,R,Channel 6,2
476.0,0.11933174224343675,60,jitu_21,R,Channel 7,2
418.99999999998454,0.10714285714286484,40,jitu_21,R,Channel 8,2
3.17,2.5,400,jitu_21,R,CoP,2
168.0,0.07812500000001324,380,jitu_21,R,vGRF,2
165.99999999998818,1.0,200,jitu_21,L,Channel 1,3
53.999999999952706,1.0,170,jitu_21,L,Channel 2,3
51.99999999998727,1.0,145,jitu_21,L,Channel 3,3
43.99999999998545,1.0,120,jitu_21,L,Channel 4,3
0.0,1.0,100,jitu_21,L,Channel 5,3
98.99999999996453,1.0,80,jitu_21,L,Channel 6,3
37.0,1.0,60,jitu_21,L,Channel 7,3
36.0,1.0,40,jitu_21,L,Channel 8,3
13.279999999999854,2.5,400,jitu_21,L,CoP,3
1257.1999999999937,0.07130342663899286,380,jitu_21,L,vGRF,3
634.99999999999,0.37328094302554893,200,jitu_21,R,Channel 1,3
390.50000000000136,0.5324459234609008,170,jitu_21,R,Channel 2,3
471.0,0.5672268907563025,145,jitu_21,R,Channel 3,3
661.0000000000091,0.2079395085066127,120,jitu_21,R,Channel 4,3
361.0000000000018,0.28481012658227683,100,jitu_21,R,Channel 5,3
380.0,0.21671826625387114,80,jitu_21,R,Channel 6,3
518.0000000000164,0.10683760683760325,60,jitu_21,R,Channel 7,3
432.00000000000364,0.0923076923076929,40,jitu_21,R,Channel 8,3
3.19,2.4717514124296107,400,jitu_21,R,CoP,3
181.00000000000546,0.07666098807496026,380,jitu_21,R,vGRF,3
170.00000000001546,1.0,200,jitu_21,L,Channel 1,4
45.0,1.0,170,jitu_21,L,Channel 2,4
51.00000000001638,1.0,145,jitu_21,L,Channel 3,4
43.0,1.0,120,jitu_21,L,Channel 4,4
0.0,1.0,100,jitu_21,L,Channel 5,4
77.0,1.0,80,jitu_21,L,Channel 6,4
37.0,1.0,60,jitu_21,L,Channel 7,4
33.0,1.0,40,jitu_21,L,Channel 8,4
14.604999999999949,2.5,400,jitu_21,L,CoP,4
1236.789999999938,0.04778352697041791,380,jitu_21,L,vGRF,4
598.0,0.4068522483940043,200,jitu_21,R,Channel 1,4
387.0,0.557491289198609,170,jitu_21,R,Channel 2,4
459.0,0.608108108108112,145,jitu_21,R,Channel 3,4
