normalized_gt_percent,fmg_channel_4_mean,fmg_channel_4_standard_deviation,contributing_trace_count
61.5384615385,342.865384615,301.090393035,40
61.872909699,343.144565217,301.354957034,40
62.2073578595,343.31270903,301.476569193,40
62.5418060201,343.376588629,301.494771585,40
62.8762541806,343.424749164,301.507774044,40
63.2107023411,343.489046823,301.595121611,40
63.5451505017,343.57972408,301.629760447,40
63.8795986622,343.535242475,301.637585756,40
64.2140468227,343.485785953,301.622833502,40
64.5484949833,343.442558528,301.55265317,40
64.8829431438,343.205643813,301.484203206,40
65.2173913043,343.032608696,301.464199668,40
65.5518394649,343.437834448,301.826876084,40
65.8862876254,344.264423077,302.550726413,40
66.220735786,344.87458194,303.125440313,40
66.5551839465,345.479598662,303.440745467,40
66.889632107,345.751421405,303.772700105,40
67.2240802676,345.993478261,304.001198456,40
67.5585284281,346.130100334,304.124733273,40
67.8929765886,346.194565217,304.183822629,40
68.2274247492,346.239506689,304.434159973,40
68.5618729097,346.484280936,304.695289864,40
68.8963210702,346.686789298,304.812509536,40
69.2307692308,346.836538462,305.017688491,40
69.5652173913,347.030978261,305.15514082,40
69.8996655518,347.069565217,305.158534312,40
70.2341137124,347.10367893,305.150692751,40
70.5685618729,346.963963211,305.005634622,40
70.9030100334,346.848160535,304.869299635,40
71.237458194,346.822993311,304.820421293,40
71.5719063545,346.700083612,304.649626798,40
71.9063545151,346.63014214,304.433766747,40
72.2408026756,346.473453177,304.264772961,40
72.5752508361,346.222491639,304.112976949,40
72.9096989967,346.055852843,303.931702386,40
73.2441471572,346.040384615,303.846660548,40
73.5785953177,345.999247492,303.755270317,40
73.9130434783,345.985869565,303.73166843,40
74.2474916388,345.949331104,303.718278188,40
74.5819397993,345.896404682,303.824765468,40
74.9163879599,345.839088629,303.923601924,40
75.2508361204,345.750083612,303.910124163,40
75.5852842809,345.651923077,303.808502221,40
75.9197324415,345.651421405,303.826882401,40
76.254180602,345.732190635,303.898425511,40
76.5886287625,345.814673913,304.00224974,40
76.9230769231,345.885576923,304.043493303,40
77.2575250836,345.919983278,304.107531053,40
77.5919732441,345.897658863,304.190285026,40
77.9264214047,345.962792642,304.206140394,40
78.2608695652,346.022282609,304.215926678,40
78.5953177258,346.018645485,304.171410103,40
78.9297658863,346.177466555,304.251860038,40
79.2642140468,346.170986622,304.215851546,40
79.5986622074,346.140133779,304.247396662,40
79.9331103679,346.066471572,304.169577024,40
80.2675585284,346.040050167,304.069888911,40
